MatchId,Player,Team,RatingPoints,EstimatedRating,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,Turnovers,Tackles,PressureActs,ContestedPossessions,GroundBallGets,Intercepts,Marks,InterceptMarks,ContestedMarks,TotalClearances,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Season,Round
20160103,Mathew Stokes,Essendon,13.0,10.34,0,73,117,90,18,9,27,55.6,478,5,8,1,14.0,7,5.0,3,7,0.0,0,0,0.0,0,0.0,4,3,1,1,7,1.0,2016,1
20160103,Adam Saad,Gold Coast,12.9,9.9,0,77,68,79,7,8,15,86.7,276,3,1,3,6.0,4,3.0,6,6,3.0,1,0,0.0,0,0.0,1,0,1,0,5,2.0,2016,1
20160103,Nick Malceski,Gold Coast,12.8,10.41,1,81,78,86,12,7,19,52.6,447,4,6,3,15.0,8,4.0,5,4,1.0,2,1,0.0,0,0.0,3,1,2,1,6,1.0,2016,1
20160103,James Kelly,Essendon,10.6,8.09,0,100,118,81,15,11,26,69.2,376,1,7,7,19.0,10,8.0,7,8,2.0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,2016,1
20160103,Touk Miller,Gold Coast,10.3,10.88,0,76,69,74,9,11,20,65.0,339,1,3,2,11.0,7,5.0,1,2,0.0,0,1,0.0,0,0.0,3,1,2,0,8,0.0,2016,1
20160103,Darcy Parish,Essendon,10.0,5.36,0,69,97,78,8,17,25,64.0,139,2,5,6,20.0,12,7.0,1,5,1.0,0,6,0.0,0,0.0,2,0,0,0,4,2.0,2016,1
20160103,Callum Ah Chee,Gold Coast,10.0,5.36,0,58,51,74,4,4,8,75.0,102,0,1,5,18.0,6,5.0,2,1,0.0,0,0,0.0,0,0.0,2,1,1,0,4,1.0,2016,1
20160103,Tom Lynch,Gold Coast,9.9,12.03,5,99,101,95,8,10,18,61.1,61,0,7,4,10.0,10,6.0,2,7,1.0,3,0,0.0,0,0.0,6,4,1,1,10,1.0,2016,1
20160103,Matt Rosa,Gold Coast,9.7,8.39,0,105,108,86,16,16,32,81.3,359,5,6,1,14.0,7,7.0,3,9,0.0,0,1,0.0,0,0.0,0,0,0,2,8,2.0,2016,1
20160103,Jackson Merrett,Essendon,9.5,7.08,0,57,75,84,9,12,21,81.0,96,2,3,3,19.0,5,5.0,3,4,0.0,0,0,0.0,0,0.0,1,0,0,0,3,1.0,2016,1
20160103,James Gwilt,Essendon,9.2,7.43,0,69,63,85,11,7,18,88.9,286,0,0,1,9.0,4,3.0,5,5,0.0,0,0,0.0,0,0.0,0,0,0,0,1,1.0,2016,1
20160103,Craig Bird,Essendon,8.9,9.0,0,50,53,70,4,7,11,72.7,199,2,2,6,19.0,4,4.0,1,1,0.0,0,1,0.0,0,0.0,0,0,0,2,2,0.0,2016,1
20160103,Jonathan Simpkin,Essendon,7.7,9.66,0,72,50,77,8,9,17,76.5,223,0,6,2,12.0,8,8.0,7,3,0.0,0,1,0.0,0,0.0,0,0,0,1,4,2.0,2016,1
20160103,Anthony McDonald-Tipungwuti,Essendon,7.1,5.36,0,50,36,78,6,4,10,80.0,69,0,0,2,20.0,5,3.0,5,0,0.0,0,0,0.0,0,0.0,1,0,1,0,3,1.0,2016,1
20160103,Ryan Crowley,Essendon,6.9,4.45,0,58,56,85,6,7,13,76.9,64,0,2,2,14.0,4,2.0,1,3,0.0,1,2,0.0,1,1.0,2,1,0,0,4,0.0,2016,1
20160103,Mark Baguley,Essendon,6.8,8.96,0,71,73,89,11,5,16,81.3,252,1,2,3,15.0,4,3.0,6,7,1.0,1,0,0.0,0,0.0,0,0,0,1,2,1.0,2016,1
20160103,Alex Sexton,Gold Coast,6.7,8.3,0,83,96,85,15,8,23,60.9,499,2,4,3,11.0,3,3.0,2,6,0.0,0,1,0.0,0,0.0,3,1,2,2,9,2.0,2016,1
20160103,Adam Cooney,Essendon,6.5,8.81,0,48,58,82,7,7,14,85.7,221,4,2,3,12.0,6,4.0,3,4,0.0,0,0,0.0,0,0.0,1,0,0,0,3,2.0,2016,1
20160103,Ryan Davis,Gold Coast,6.4,5.89,0,57,64,75,8,9,17,52.9,149,3,4,4,6.0,8,6.0,3,1,0.0,0,1,0.0,0,0.0,3,0,2,0,5,1.0,2016,1
